"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분","폐교여부","폐교일자","휴교여부"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000303","보광초등학교","02","공립","","N","단설","주간","19360616","19360616","4376039021","충청북도 괴산군 사리면 사담리","516-1.","28046","28046","충청북도 괴산군 사리면 사리로 246",", 보광초등학교 (사리면,보광초등학교) (사리면)","36.8180883","127.6498526","043-836-7188","043-836-6187","http://school.cbe.go.kr/bokwang-e/","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000305","보광초등학교화곡분교장","02","공립","","Y","단설","주간","20120616","19360616","4376039027","충청북도 괴산군 사리면 이곡리","452.","367823","367823","충청북도 괴산군 사리면 모래재로 941",", 보광초등학교 화곡분교 (사리면,보광초등학교화곡분교)","","","043-833-3198","043-833-3712","http://www.bokwang.es.kr","남녀공학","Y","20130301","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 증평군","S110000308","삼보초등학교","02","공립","","N","단설","주간","19590429","19590401","4374525030","충청북도 증평군 증평읍 초중리","11-19번지.","368910","27943","충청북도 증평군 증평읍 삼보로 140","(증평읍)","36.778503","127.578829","043-836-7991","043-838-1730","school.cbe.go.kr/sambo-e","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000311","소수초등학교","02","공립","","N","단설","주간","19310713","19310626","4376040021","충청북도 괴산군 소수면 수리","554.","367922","28041","충청북도 괴산군 소수면 소수로 131","(소수면)","36.8540109","127.74523","043-832-8005","043-832-8506","http://school.cbe.go.kr/sosu-e","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000314","송면초등학교","02","공립","","N","병설","주간","19440408","19440408","4376036047","충청북도 괴산군 청천면 송면리","116-2.","367847","28065","충청북도 괴산군 청천면 송면2길 13","(청천면, 송면초등학교)","36.6741623","127.8607504","043-833-8308","043-833-8446","school.cbe.go.kr/songmyeon-e/","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000323","연풍초등학교","02","공립","","N","단설","주간","19120401","19120401","4376033021","충청북도 괴산군 연풍면 삼풍리 162","번지.","367880","28013","충청북도 괴산군 연풍면 중앙로 53","(연풍면,연풍초등학교)","36.7630771","127.9970584","043-834-5152","043-833-3686","http://school.cbe.go.kr/yunpung-e/M01","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000333","장연초등학교","02","공립","","N","단설","주간","19360523","19360523","4376032021","충청북도 괴산군 장연면 오가리","349번지.","367872","28009","충청북도 괴산군 장연면 미선로오가5길 1",", 장연초등학교 (장연면)","36.8249161","127.9551834","043-832-7181","043-832-8183","http://school.cbe.go.kr/jangyeon-e","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 증평군","S110000338","죽리초등학교","02","공립","","N","단설","주간","19530401","19390730","4374525039","충청북도 증평군 증평읍 죽리","308.","368902","27950","충청북도 증평군 증평읍 남하길 233","(증평읍)","36.753563","127.6121081","043-838-8891","043-838-8892","http://school.cbe.go.kr/jukri-e/M01","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 증평군","S110000340","증평초등학교","02","공립","","N","단설","주간","19300419","19300419","4374525021","충북 증평군 증평읍 증평리","480번지.","368902","27935","충청북도 증평군 증평읍 광장로 152",", 증평초등학교 (증평읍)","36.7815754","127.5878596","043-838-0592","043-838-0594","http://school.cbe.go.kr/jp-e","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000341","청안초등학교","02","공립","","N","단설","주간","19111103","19111103","4376037021","충청북도 괴산군 청안면 읍내리","221.","367831","28050","충청북도 괴산군 청안면 청안읍내로3길 8",", 청안초등학교 (청안면)","36.7723749","127.6391812","043-836-9084","043-838-2086","http://school.cbe.go.kr/cheongan-e","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000342","청천초등학교","02","공립","","N","단설","주간","19210412","19210412","4376036021","충청북도 괴산군 청천면 청천리","77-1.","367843","28063","충청북도 괴산군 청천면 청천6길 10","(청천면, 청천초등학교)","36.6614608","127.7374611","043-832-4081","043-832-4082","http://school.cbe.go.kr/cheongcheon-e","남녀공학","N","","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000344","추산초등학교","02","공립","","N","병설","주간","19370723","19370723","4376041024","충청북도 괴산군 불정면 추산리","575-1.","367911","367911","충청북도 괴산군 불정면 동추산길 1","(불정면,추산초등학교)","36.9025162","127.8170217","8334357","043-833-4332","http://www.chusan-cb.es.kr/","남녀공학","Y","20170301","N"
"충청북도교육청","충청북도괴산증평교육지원청","충청북도 괴산군","S110000346","칠성초등학교","02","공립","","N","단설","주간","19290503","19290503","4376034021","충청북도 괴산군 칠성면 도정리","311번지.","367862","28019","충청북도 괴산군 칠성면 칠성로 26","(칠성면)","36.785598","127.862385","043-832-5711","043-832-2534","http://school.cbe.go.kr/chilseong-e","남녀공학","N","","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000358","가곡초등학교","02","공립","","N","단설","주간","19340626","19340626","4380032021","충청북도 단양군 가곡면 사평리","435번지.","395821","27021","충청북도 단양군 가곡면 남한강로 548",", 가곡초등학교 (가곡면)","37.0268943839","128.3855597252","043-422-8010","043-422-5016","http://school.cbe.go.kr/gagok-e/","남녀공학","N","","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000359","가곡초등학교대곡분교장","02","공립","","Y","단설","주간","19540410","19540410","4380032025","충청북도 단양군 가곡면 대대리","220-1.","395822","27023","충청북도 단양군 가곡면 대대길 51",", 가곡초등학교대곡분교장 (가곡면)","36.9980080834","128.4270379165","043-422-8016","043-422-8006","？？http://school.cbe.go.kr/gagok-e/","남녀공학","N","","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000360","가곡초등학교보발분교장","02","공립","","Y","단설","주간","19451001","19451001","4380032027","충청북도 단양군 가곡면 보발리","711-1.","395823","27022","충청북도 단양군 가곡면 보발본동1길 17",", 가곡초등학교 보발분교장 (가곡면)","37.0295392084","128.4487679052","043-422-8017","043-422-8618","？？http://school.cbe.go.kr/gagok-e/","남녀공학","N","","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000364","가평초등학교","02","공립","","N","단설","주간","19460920","19460920","4380025332","충청북도 단양군 매포읍 가평리","181-2번지.","395901","27002","충청북도 단양군 매포읍 가평길 58","(매포읍)","37.0729273","128.2825971","043-423-5255","043-423-0553","https://school.cbe.go.kr/kapyeong-e/M01","남녀공학","N","","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000368","단양초등학교","02","공립","","N","단설","주간","19090203","19090203","4380025026","충청북도 단양군 단양읍 도전리","405.","395804","27012","충청북도 단양군 단양읍 도전2길 15",", 단양초등학교 (단양읍)","36.9","128.3","043-421-2655","043-423-1729","school.cbe.go.kr/danyang-e","남녀공학","N","","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000373","단천초등학교","02","공립","","N","단설","주간","19660302","19660302","4380036021","충청북도 단양군 단성면 북상리","108.","395863","27027","충청북도 단양군 단성면 북상하리길 53",", 단천초등학교 (단성면)","36.9","128.3","043-422-0597","043-422-6270","http://school.cbe.go.kr/dancheon-e/","남녀공학","N","","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000374","단천초등학교가산분교장","02","공립","","Y","단설","주간","19461020","19461020","4380036033","충청북도 단양군 단성면 가산리","290.","395861","27026","충청북도 단양군 단성면 선암계곡로 1092","(단성면,단천초등학교가산분교장)","36.8","128.3","043-422-1503","043-422-1514","http://www.dancheon.es.kr","남녀공학","Y","20190228","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000376","대가초등학교","02","공립","","N","단설","주간","19410331","19410331","4380035030","충청북도 단양군 적성면 대가리","191번지.","395851","27000","충청북도 단양군 적성면 적성로 453","(적성면)","37.03332","128.26259","043-422-1987","043-422-4293","http://school.cbe.go.kr/taega-e/M01","남녀공학","N","","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000377","대강초등학교","02","공립","","N","단설","주간","19290415","19290415","4380031021","충청북도 단양군 대강면 장림리","91.","395813","27027","충청북도 단양군 대강면 대강로 6",", 대강초등학교 (대강면)","36.9","128.3","043-422-9416","043-422-9962","http://school.cbe.go.kr/daegang-e","남녀공학","N","","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000378","대강초등학교장정분교장","02","공립","","Y","단설","주간","19250401","19250401","4380031041","충청북도 단양군 대강면 장정리","30.","27029","27029","충청북도 단양군 대강면 온천로 719-7",", 대강초등학교 장정분교장 (대강면)","36.846353","128.395503","043-422-1258","043-422-1259","www.daegang.es.kr","남녀공학","Y","20170701","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000387","매포초등학교","02","공립","","N","단설","주간","19230605","19230605","4380025327","",".","","27005","충청북도 단양군 매포읍 단양로 1929","(매포읍,매포초등학교)","37.0344410625","128.30168006","043-422-4132","043-422-8177","http://www.maepo.es.kr","남녀공학","N","","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000388","별방초등학교","02","공립","","N","단설","주간","19430418","19430418","4380033031","충청북도 단양군 영춘면 별방리","540번지.","27017","27017","충청북도 단양군 영춘면 별방창원로 449",", 별방초중학교 (영춘면,별방초중교)","37.0966672","128.4156351","043-422-8823","043-422-9560","http://www.byolbang.ms.kr/","남녀공학","Y","20220228","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000393","상진초등학교","02","공립","","N","단설","주간","19881005","19881005","4380025027","충청북도 단양군 단양읍 상진리","734.","395806","27013","충청북도 단양군 단양읍 상진12길 17","(단양읍, 상진초등학교)","36.9792332","128.3566303","043-421-5301","043-421-5388","school.cbe.go.kr/sangjincho-e","남녀공학","N","","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000396","어상천초등학교","02","공립","","N","단설","주간","19320406","19320406","4380034021","충청북도 단양군 어상천면 임현리","456-1.","27015","27015","충청북도 단양군 어상천면 어상천로 930",", 어상천초등학교 (어상천면)","37.1029272072","128.3580199182","043-423-6007","043-423-2060","http://school.cbe.go.kr/eosangcheon-e","남녀공학","N","","N"
"충청북도교육청","충청북도단양교육지원청","충청북도 단양군","S110000404","영춘초등학교","02","공립","","N","단설","주간","19060601","19060601","4380033021","충청북도 단양군 영춘면 상리","640.","27018","27018","충청북도 단양군 영춘면 온달평강로 63-6","(영춘면,영춘초등학교)","37.0804082","128.482931","043-423-7006","043-423-3331","http://school.cbe.go.kr/yeongchun-e","남녀공학","N","","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000422","관기초등학교","02","공립","","N","단설","주간","19201010","19201010","4372033021","충청북도 보은군 마로면 관기리","294번지.","376853","28963","충청북도 보은군 마로면 관기송현로 109","(마로면, 관기초등학교)","36.435985","127.821363","043-543-5093","043-543-5095","school.cbe.go.kr/kwangi-e","남녀공학","N","","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000427","내북초등학교","02","공립","","N","단설","주간","19330401","19321221","4372039032","충청북도 보은군 내북면 화전리","5-1.","28906","28906","충청북도 보은군 내북면 화전길 20",", 내북초등학교 (내북면)","36.575803","127.6519123","043-542-0245","043-542-0742","http://school.cbe.go.kr/cbnaebuk-e","남녀공학","N","","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000431","동광초등학교","02","공립","","N","단설","주간","19660603","19660603","4372025024","충청북도 보은군 보은읍 교사리","(보은읍,동광초등학교).","376803","28942","충청북도 보은군 보은읍 동광길 26",", 동광초등학교 (보은읍)","36.4880528","127.7188023","043-543-2621","043-543-1971","school.cbe.go.kr/boeundonggwang-e","남녀공학","N","","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000444","산외초등학교","02","공립","","N","단설","주간","19260420","19260331","4372040021","충청북도 보은군 산외면 구티리","52-2.","376872","28903","충청북도 보은군 산외면 구티1길 27","(산외면,산외초등학교)","36.5526304","127.7315897","043-542-4006","043-542-2923","school.cbe.go.kr/sanoe-e","남녀공학","N","","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000448","보은삼산초등학교","02","공립","","N","단설","주간","19090901","19090901","4372025021","충청북도 보은군 보은읍 삼산리","156-3.","376807","28947","충청북도 보은군 보은읍 보은로 109-6","(보은읍)","36.4848393","127.7167805","043-543-2618","043-543-5711","http://school.cbe.go.kr/samsan-e/","남녀공학","N","","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000452","세중초등학교","02","공립","","N","단설","주간","19350401","19350401","4372033024","충청북도 보은군 마로면 세중리","575-2.","376851","28966","충청북도 보은군 마로면 세중1길 2","(마로면,세중초등학교)","36.388582","127.829475","043-542-3600","043-542-4546","http://school.cbe.go.kr/sejung-e","남녀공학","N","","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000454","속리초등학교","02","공립","","N","단설","주간","19300418","19300418","4372032530","",".","","28912","충청북도 보은군 장안면 장안2길 2","(장안면, 속리초등학교)","36.4709047","127.7893663","043-542-5800","043-542-5486","http://school.cbe.go.kr/sokri-e","남녀공학","N","","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000456","송죽초등학교","02","공립","","N","단설","주간","19670831","19670831","4372035025","충청북도 보은군 삼승면 송죽리","192-4.","376823","28923","충청북도 보은군 삼승면 남부로 3927","(삼승면)","36.4","127.7","043-542-6509","043-543-0008","http://school.cbe.go.kr/songzuk-e","남녀공학","Y","20220228","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000457","수정초등학교","02","공립","","N","단설","주간","19701124","19701124","4372031527","충청북도 보은군 속리산면 사내리","181번지.","376863","28908","충청북도 보은군 속리산면 사내1길 125",", 수정초등학교 (속리산면)","36.535851","127.8213316","043-543-3775","043-543-5864","http://school.cbe.go.kr/sjeong-e","남녀공학","N","","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000460","수정초등학교삼가분교장","02","공립","","Y","병설","주간","19460930","19460930","4372031528","충청북도 보은군 속리산면 삼가리","140번지.","376861","28909","충청북도 보은군 속리산면 삼가구병길 9","(속리산면)","36.490951","127.860038","043-542-5385","043-543-0599","http://sjeong.es.kr/","남녀공학","Y","20180301","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000461","수한초등학교","02","공립","","N","단설","주간","19350703","19350703","4372036024","충청북도 보은군 수한면 소계리","17-2.","376881","28921","충청북도 보은군 수한면 안내보은로 1022","(수한면, 수한초등학교)","36.4585296","127.7013256","043-542-4562","043-542-4561","school.cbe.go.kr/suhan-e","남녀공학","N","","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000466","종곡초등학교","02","공립","","N","단설","주간","19460913","19460901","4372025039","충청북도 보은군 보은읍 강신리","54번지.","376802","28915","충청북도 보은군 보은읍 강신1길 12-7","","36.501991","127.7498152","043-544-2623","043-543-1797","http://school.cbe.go.kr/jonggok-e","남녀공학","N","","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000468","탄부초등학교","02","공립","","N","단설","주간","19350703","19350703","4372034024","",".","","28961","충청북도 보은군 탄부면 덕동벽지길 13",", 탄부초등학교 (탄부면)","36.4253032","127.7768703","043-542-7640, 7642","043-542-0451","http://school.cbe.go.kr/tanbu-e","남녀공학","N","","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000470","판동초등학교","02","공립","","N","단설","주간","19650301","19650301","4372035022","",".","","28926","충청북도 보은군 삼승면 삼승탄부로 78-15","(삼승면,판동초등학교)","36.3986132275","127.7413878747","043-543-8501","043-543-8502","https://school.cbe.go.kr/pandong-e","남녀공학","N","","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000472","회남초등학교","02","공립","","N","단설","주간","19340618","19340618","4372037029","충청북도 보은군 회남면 거교리","249번지.","376911","28931","충청북도 보은군 회남면 회남로 1901-1","(회남면)","36.4462101737","127.5797754685","043-542-8423","043-543-0866","http://www.hoenam.es.kr","남녀공학","N","","N"
"충청북도교육청","충청북도보은교육지원청","충청북도 보은군","S110000478","회인초등학교","02","공립","","N","단설","주간","19060401","19060401","4372038521","충북 보은군 회인면 중앙리","96.","376893","28929","충청북도 보은군 회인면 회인로1길 10-8",", 회인초등학교 (회인면)","36.491649","127.59576","043-542-9262","043-543-5556","http://school.cbe.go.kr/hoein-e","남녀공학","N","","N"
"충청북도교육청","충청북도영동교육지원청","충청북도 영동군","S110000501","매곡초등학교","02","공립","","N","단설","주간","19350527","19350527","4374034021","충청북도 영동군 매곡면 노천리","53-1번지.","370872","29121","충청북도 영동군 매곡면 민주지산로 3609","(매곡면)","36.192674","127.932217","043-743-2181","043-743-5618","http://school.cbe.go.kr/maegok-e","남녀공학","N","","N"
"충청북도교육청","충청북도영동교육지원청","충청북도 영동군","S110000503","미봉초등학교","02","공립","","N","단설","주간","19440331","19440331","4374036028","충청북도 영동군 양강면 유점리","697-3.","370813","370813","충청북도 영동군 양강면 학산영동로 495",", 미봉초등학교 (양강면,미봉초등학교)","36.1279811241","127.7272058774","043-743-8079","043-744-3954","www.mibong.es.kr","남녀공학","Y","20180301","N"
"충청북도교육청","충청북도영동교육지원청","충청북도 영동군","S110000508","부용초등학교","02","공립","","N","단설","주간","19650305","19640804","4374025028","충청북도 영동군 영동읍 부용리","225번지.","29153","29153","충청북도 영동군 영동읍 학산영동로 1155","(영동읍)","36.1672736","127.7671265","043-742-0031","043-742-8312","http://school.cbe.go.kr/puyong-e","남녀공학","N","","N"
"충청북도교육청","충청북도영동교육지원청","충청북도 영동군","S110000512","상촌초등학교","02","공립","","N","단설","주간","19230516","19230516","4374035021","충청북도 영동군 상촌면 임산리","357-1.","370882","29123","충청북도 영동군 상촌면 임산2길 20","(상촌면, 상촌초등학교)","36.147649","127.911363","043-743-3516","043-743-5167","http://school.cbe.go.kr/sangchon-e","남녀공학","N","","N"
"충청북도교육청","충청북도영동교육지원청","충청북도 영동군","S110000519","심천초등학교","02","공립","","N","단설","주간","19390501","19390501","4374040021","충청북도 영동군 심천면 심천리","524-1.","370854","29103","충청북도 영동군 심천면 심천로 52",", 심천초등학교 (심천면)","36.2346941","127.7249104","043-742-6085","043-742-8580","http://school.cbe.go.kr/shimchon-e/","남녀공학","N","","N"
"충청북도교육청","충청북도영동교육지원청","충청북도 영동군","S110000522","양강초등학교","02","공립","","N","단설","주간","19300415","19300415","4374036034","충청북도 영동군 양강면 묘동리","331-2.","370811","29155","충청북도 영동군 양강면 학산영동로 817","(양강면)","36.1458930203","127.7477223811","043-743-4881","043-742-0363","https://school.cbe.go.kr/yangkang-e","남녀공학","N","","N"
"충청북도교육청","충청북도영동교육지원청","충청북도 영동군","S110000524","양산초등학교","02","공립","","N","단설","주간","19100325","19100325","4374039021","충청북도 영동군 양산면 가곡리","293-2.","370831","29161","충청북도 영동군 양산면 금강로 1500","(양산면, 양산초등학교)","36.124489","127.666332","043-745-9390","043-743-9218","http://school.cbe.go.kr/ys2000-e","남녀공학","N","","N"
"충청북도교육청","충청북도영동교육지원청","충청북도 영동군","S110000527","구룡초등학교","02","공립","","N","단설","주간","19450428","19450310","4374031021","충청북도 영동군 용산면 구촌리","141-1.","29110","29110","충청북도 영동군 용산면 용산로 366",", 구룡초등학교 (용산면,구룡초교)","36.263959","127.827999","043-742-9010","043-742-4277","http://school.cbe.go.kr/kuryong-e","남녀공학","N","","N"
"충청북도교육청","충청북도영동교육지원청","충청북도 영동군","S110000528","영동초등학교","02","공립","","N","단설","주간","19080505","19080505","4374025021","충청북도 영동군 영동읍 계산리","674-4.","370802","29144","충청북도 영동군 영동읍 영동천2길 47","(영동읍)","36.172676","127.779213","043-740-2470","043-742-4685","http://school.cbe.go.kr/yde-e/","남녀공학","N","","N"
"충청북도교육청","충청북도영동교육지원청","충청북도 영동군","S110000535","용화초등학교","02","공립","","N","단설","주간","19350525","19350430","4374037021","충청북도 영동군 용화면 용화리","760.","29158","29158","충청북도 영동군 용화면 용화양강로 32","(용화면 용화초등학교)","36.023608","127.76585","043-743-7006","043-743-1737","http://www.yonghwacho.es.kr/","남녀공학","N","","N"
"충청북도교육청","충청북도영동교육지원청","충청북도 영동군","S110000539","이수초등학교","02","공립","","N","단설","주간","19460901","19460901","4374025021","충청북도 영동군 영동읍 계산리","485-1.","370802","29146","충청북도 영동군 영동읍 영산로4길 9",", 이수초등학교 (영동읍)","36.178548","127.776565","043-744-0140","043-744-4464","http://school.cbe.go.kr/isu-e","남녀공학","N","","N"
"충청북도교육청","충청북도영동교육지원청","충청북도 영동군","S110000548","추풍령초등학교","02","공립","","N","병설","주간","19230223","19230223","4374033524","충청북도 영동군 추풍령면 추풍령리","375-1.","370893","29120","충청북도 영동군 추풍령면 추풍령로2길 7","(추풍령면,추풍령초등학교)","36.2150512","127.9965612","043-742-2781","043-742-7780","http://school.cbe.go.kr/chupungryong-e","남녀공학","N","","N"
"충청북도교육청","충청북도영동교육지원청","충청북도 영동군","S110000552","학산초등학교","02","공립","","N","단설","주간","19320423","19320423","4374038021","충청북도 영동군 학산면 서산리","738-1.","370821","29166","충청북도 영동군 학산면 서산동길 12-9","(학산면)","36.091782","127.686081","043-743-6397","043-743-9173","http://school.cbe.go.kr/haksan-e","남녀공학","N","","N"
"충청북도교육청","충청북도영동교육지원청","충청북도 영동군","S110000555","황간초등학교","02","공립","","N","단설","주간","19060401","19060401","4374032021","충청북도 영동군 황간면 남성리","167-1.","29115","29115","충청북도 영동군 황간면 남성1길 25","(황간면,황간초등학교)","36.2273889","127.9129645","043-742-4088","043-742-2214","http://school.cbe.go.kr/hwanggan-e","남녀공학","N","","N"
"충청북도교육청","충청북도옥천교육지원청","충청북도 옥천군","S110000566","군남초등학교","02","공립","","N","단설","주간","19640409","19640409","4373025030","충청북도 옥천군 옥천읍 서대리","279.","373805","29055","충청북도 옥천군 옥천읍 서대구일로 10","(옥천읍)","36.2781695","127.5816616","043-733-6357","043-733-6358","http://www.good.es.kr","남녀공학","N","","N"
"충청북도교육청","충청북도옥천교육지원청","충청북도 옥천군","S110000569","군서초등학교","02","공립","","N","단설","주간","19090615","19090615","4373037021","충청북도 옥천군 군서면 동평리","551.","373841","29059","충청북도 옥천군 군서면 성왕로 517","(군서면)","36.2784586979","127.5275736442","043-733-5607","043-733-5606","http://kunso.es.kr","남녀공학","N","","N"
"충청북도교육청","충청북도옥천교육지원청","충청북도 옥천군","S110000574","동이초등학교","02","공립","","N","단설","주간","19360420","19360420","4373031021","충청북도 옥천군 동이면 평산리","72-1.","373831","29024","충청북도 옥천군 동이면 평산길 6",", 동이초등학교 (동이면)","36.2861191","127.6190703","043-732-7268","043-733-5451","http://school.cbe.go.kr/dongi-e","남녀공학","N","","N"
